repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,"repl-disable-tcp-nodelay(1=yes,0=no)",hll-sparse-max-bytes,hz,6.0.5performance(requests per second)
3,46,468,-4,136,11,0,4445,368,62893.08
1,109,1002,-3,230,10,0,1365,500,62500
5,122,1004,-1,157,11,0,7600,55,62111.8
3,108,395,-1,201,8,0,3146,148,62111.8
2,77,858,-4,142,16,1,11624,360,62111.8
5,41,732,-5,185,19,1,521,235,62111.8
10,68,571,-3,273,18,1,4640,148,61349.69
7,55,424,-5,160,18,0,12020,152,61349.69
3,105,556,-5,268,13,1,7027,104,61349.69
1,35,413,-1,113,17,1,13414,257,61349.69
9,80,284,-5,116,7,1,14388,126,66666.66
5,55,798,-5,200,11,1,6404,189,63291.14
6,38,742,-4,194,10,0,2994,383,62500
9,58,823,-4,152,12,0,4531,64,62500
9,121,868,-3,154,14,0,11794,448,62111.8
2,65,627,-3,139,10,0,9063,132,62111.8
8,116,288,-1,288,15,1,1150,210,61728.39
1,86,277,-1,116,13,0,6138,357,61728.39
4,101,337,-3,239,15,0,7102,385,61728.39
1,98,868,-4,235,13,0,3861,212,68027.21
3,77,907,-3,207,13,1,2601,232,63291.14
8,118,460,-4,144,20,0,5371,390,62893.08
10,126,671,-2,118,16,0,10595,304,62893.08
2,48,783,-4,234,17,0,7821,377,62893.08
6,108,936,-2,258,9,0,8138,407,62111.8
3,96,372,-3,231,17,1,10025,304,62111.8
9,61,1000,-1,158,16,0,6643,133,65359.48
8,58,783,-4,211,6,1,7572,435,63694.27
6,75,755,-1,120,6,1,9945,237,63291.14
9,48,311,-5,120,6,1,12272,277,62893.08
1,62,775,-5,173,16,1,11619,328,62893.08
7,122,528,-4,165,19,0,7059,454,62500
6,58,997,-3,282,13,0,11431,496,66225.17
3,37,546,-1,126,18,0,11211,335,64516.13
9,127,895,-1,146,5,0,1270,389,64102.56
2,67,500,-1,210,18,1,13124,265,63694.27
7,49,744,-4,235,18,1,9417,287,63694.27
4,72,300,-3,247,8,1,10116,32,63291.14
1,51,284,-2,114,16,1,3354,278,63291.14
6,97,348,-5,158,17,1,8272,287,62893.08
8,52,598,-5,262,14,0,5270,469,62893.08
6,38,333,-3,197,12,1,7625,236,66666.66
8,106,943,-2,222,7,0,5646,183,65359.48
1,82,545,-1,231,16,0,3933,204,64935.07
10,100,597,-2,215,6,0,7451,24,64516.13
6,111,700,-3,300,5,1,14991,105,63291.14
8,116,380,-4,254,6,1,11683,460,63291.14
8,124,312,-4,266,19,0,92,49,68965.52
3,116,329,-4,247,19,0,10824,224,65789.48
4,118,276,-4,283,10,0,1763,123,65359.48
10,45,808,-1,280,8,0,705,149,64935.07
4,102,824,-5,290,6,0,3297,189,67114.09
9,79,404,-4,150,6,0,584,44,64935.07
2,126,444,-1,129,20,0,14394,478,64516.13
3,119,471,-2,144,19,1,2559,459,67114.09
5,48,462,-2,263,7,1,10680,105,66666.66
4,41,471,-5,109,19,0,6923,470,65359.48
7,34,662,-4,135,14,0,7948,244,67567.57
5,103,599,-5,239,18,0,2863,23,65789.48
4,108,470,-1,275,5,1,9150,430,64935.07
6,68,733,-4,284,16,0,10071,25,66666.66
7,72,760,-2,281,19,0,12575,209,66666.66
5,128,376,-1,241,19,1,6810,102,67114.09
10,122,368,-2,254,17,0,8932,318,68027.21
8,89,304,-2,156,7,1,4125,21,69930.07
